date,description,amount,type
2025-09-25,Зарплата сентябрь,85000.00,доход
2025-09-26,Аренда квартиры,-35000.00,расход
2025-09-27,Продукты Пятёрочка,-6250.50,расход
2025-09-28,Интернет МТС,-899.00,расход
2025-09-29,Обед в столовой,-850.00,расход
2025-09-30,Такси,-520.00,расход
2025-10-01,Кинотеатр,-1200.00,расход
2025-10-02,Яндекс Плюс подписка,-399.00,расход
2025-10-03,Ozon техника,-15400.00,расход
2025-10-04,Аптека,-1250.00,расход
2025-10-05,Фитнес клуб,-2000.00,расход
2025-10-06,Дивиденды по акциям,5000.00,доход
2025-10-07,Подарок,-7500.00,расход
2025-10-08,Английский курс,-6000.00,расход
2025-10-09,Кофейня,-450.00,расход
2025-10-10,Метро проездной,-2500.00,расход
2025-10-11,Концерт группы,-3000.00,расход
2025-10-12,OKKO подписка,-299.00,расход
2025-10-13,Wildberries одежда,-8900.00,расход
2025-10-14,Стоматолог,-5000.00,расход
2025-10-15,Бассейн абонемент,-1200.00,расход
2025-10-16,Фриланс заказ,25000.00,доход
2025-10-17,Цветы маме,-1200.00,расход
2025-10-18,Программирование курс,-8000.00,расход
2025-10-19,Ресторан японский,-3200.00,расход
2025-10-20,Читай город,-350.00,расход
2025-10-21,Квест комната,-1800.00,расход
2025-10-22,VK Музыка подписка,-149.00,расход
2025-10-23,Мария Ра магазин,-4300.00,расход
2025-10-24,Массаж,-2000.00,расход
2025-10-25,Зарплата октябрь,87000.00,доход
